"ZONE CHART"
"UPS Ground/UPS 3 Day Select/UPS 2nd Day Air/UPS 2nd Day Air A.M./UPS Next Day Air Saver/UPS Next Day Air"

"For shipments originating in ZIP Codes 630-01 to 633-99.  To determine zone"
"take the first three digits of the receiver's ZIP Code and refer to the chart below:"

"ZONES"
Dest. ZIP,Ground,3 Day Select,2nd Day Air,2nd Day Air A.M.,Next Day Air Saver,Next Day Air

004-005,5,305,205,245,135,105
006-007,-,-,225,-,-,125
008,-,-,[1],-,-,[1]
009,-,-,225,-,-,125
010-016,5,305,205,245,135,105
017-031,6,306,206,246,136,106
032-034,5,305,205,245,135,105
035,6,306,206,246,136,106
036-037,5,305,205,245,135,105
038-049,6,306,206,246,136,106
050-054,5,305,205,245,135,105
055,6,306,206,246,136,106
056-058,5,305,205,245,135,105
059,6,306,206,-,136,106
060-089,5,305,205,245,135,105
090-099,-,-,-,-,-,-
100-149,5,305,205,245,135,105
150-157,4,304,204,244,134,104
158-159,5,305,205,245,135,105
160-165,4,304,204,244,134,104
166-199,5,305,205,245,135,105
200-239,5,305,205,245,135,105
240-253,4,304,204,244,134,104
254,5,305,205,245,135,105
255-266,4,304,204,244,134,104
267,5,305,205,245,135,105
268-274,4,304,204,244,134,104
275-279,5,305,205,245,135,105
280-282,4,304,204,244,134,104
283-285,5,305,205,245,135,105
286-293,4,304,204,244,134,104
294-295,5,305,205,245,135,105
296-298,4,304,204,244,134,104
299,5,305,205,245,135,105
300-312,4,304,204,244,134,104
313-316,5,305,205,245,135,105
317-319,4,304,204,244,134,104
320-324,5,305,205,245,135,105
325,4,304,204,244,134,104
326-329,5,305,205,245,135,105
330-333,6,306,206,246,136,106
334-339,5,305,205,245,135,105
340,-,-,-,-,-,-
341-349,5,305,205,245,135,105
350-369,4,304,204,244,134,104
370-372,3,303,203,243,133,103
373-374,4,304,204,244,134,104
375,3,303,203,-,-,103
376-379,4,304,204,244,134,104
380-386,3,303,203,243,133,103
387-399,4,304,204,244,134,104
400-402,3,303,203,243,133,103
403-405,4,304,204,244,134,104
406,3,303,203,243,133,103
407-409,4,304,204,-,134,104
410,3,303,203,243,133,103
411-418,4,304,204,244,134,104
420,2,302,202,242,132,102
421-423,3,303,203,243,133,103
424,2,302,202,242,132,102
425-427,3,303,203,243,133,103
430-449,4,304,204,244,134,104
450-452,3,303,203,243,133,103
453-458,4,304,204,244,134,104
459-474,3,303,203,243,133,103
475-478,2,302,202,242,132,102
479,3,303,203,243,133,103
480-499,4,304,204,244,134,104
500-503,3,303,203,243,133,103
504-505,4,304,204,244,134,104
506-509,3,303,203,243,133,103
510-515,4,304,204,244,134,104
516-525,3,303,203,243,133,103
526,2,302,202,242,132,102
527-528,3,303,203,243,133,103
530-533,4,304,204,244,134,104
534-538,3,303,203,243,133,103
539-565,4,304,204,244,134,104
566-567,5,305,205,245,135,105
570-574,4,304,204,244,134,104
575-588,5,305,205,245,135,105
590-591,6,306,206,246,136,106
592-593,5,305,205,-,-,105
594-599,6,306,206,246,136,106
600-613,3,303,203,243,133,103
614-639,2,302,202,242,132,102
640-649,3,303,203,243,133,103
650-655,2,302,202,242,132,102
656-667,3,303,203,243,133,103
668-672,4,304,204,244,134,104
673,3,303,203,243,133,103
674-692,4,304,204,244,134,104
693,5,305,205,245,135,105
700-703,5,305,205,245,135,105
704-718,4,304,204,244,134,104
719-728,3,303,203,243,133,103
729-732,4,304,204,244,134,104
733,5,305,205,-,-,105
734-742,4,304,204,244,134,104
743,3,303,203,243,133,103
744-764,4,304,204,244,134,104
765-797,5,305,205,245,135,105
798-799,6,306,206,246,136,106
800-820,5,305,205,245,135,105
821,6,306,206,-,-,106
822-828,5,305,205,245,135,105
829-834,6,306,206,246,136,106
835,7,307,207,-,137,107
836-837,6,306,206,246,136,106
838,7,307,207,-,137,107
840-853,6,306,206,246,136,106
854,7,307,207,-,-,107
855-865,6,306,206,246,136,106
870-872,5,305,205,245,135,105
873,6,306,206,246,136,106
874-878,5,305,205,245,135,105
879-880,6,306,206,246,136,106
881-884,5,305,205,-,135,105
885-893,6,306,206,246,136,106
894-897,7,307,207,247,137,107
