"ZONE CHART"
"UPS Ground/UPS 3 Day Select/UPS 2nd Day Air/UPS 2nd Day Air A.M./UPS Next Day Air Saver/UPS Next Day Air"

"For shipments originating in ZIP Codes 119-01 to 119-99.  To determine zone"
"take the first three digits of the receiver's ZIP Code and refer to the chart below:"

"ZONES"
Dest. ZIP,Ground,3 Day Select,2nd Day Air,2nd Day Air A.M.,Next Day Air Saver,Next Day Air

004-005,2,302,202,242,132,102
006-007,-,-,225,-,-,125
008,-,-,[1],-,-,[1]
009,-,-,225,-,-,125
010-031,2,302,202,242,132,102
032-033,3,303,203,243,133,103
034,2,302,202,242,132,102
035-043,3,303,203,243,133,103
044,4,304,204,244,134,104
045,3,303,203,243,133,103
046-047,4,304,204,-,134,104
048-051,3,303,203,243,133,103
052-053,2,302,202,242,132,102
054,3,303,203,243,133,103
055,2,302,202,242,132,102
056-059,3,303,203,243,133,103
060-089,2,302,202,242,132,102
090-099,-,-,-,-,-,-
100-127,2,302,202,242,132,102
128-139,3,303,203,243,133,103
140-143,4,304,204,244,134,104
144-146,3,303,203,243,133,103
147,4,304,204,244,134,104
148-149,3,303,203,243,133,103
150-157,4,304,204,244,134,104
158,3,303,203,243,133,103
159-165,4,304,204,244,134,104
166,3,303,203,243,133,103
167,4,304,204,244,134,104
168-179,3,303,203,243,133,103
180-187,2,302,202,242,132,102
188,3,303,203,-,-,103
189-196,2,302,202,242,132,102
197-199,3,303,203,243,133,103
200-214,3,303,203,243,133,103
215,4,304,204,244,134,104
216-227,3,303,203,243,133,103
228-229,4,304,204,244,134,104
230-232,3,303,203,243,133,103
233-253,4,304,204,244,134,104
254,3,303,203,243,133,103
255-286,4,304,204,244,134,104
287-294,5,305,205,245,135,105
295,4,304,204,244,134,104
296,5,305,205,245,135,105
297,4,304,204,244,134,104
298-299,5,305,205,245,135,105
300-323,5,305,205,245,135,105
324-325,6,306,206,246,136,106
326-329,5,305,205,245,135,105
330-337,6,306,206,246,136,106
338,5,305,205,245,135,105
339,6,306,206,246,136,106
340,-,-,-,-,-,-
341-342,6,306,206,246,136,106
344,5,305,205,245,135,105
346,6,306,206,246,136,106
347,5,305,205,245,135,105
349,6,306,206,246,136,106
350-364,5,305,205,245,135,105
365-366,6,306,206,246,136,106
367-368,5,305,205,245,135,105
369,6,306,206,-,136,106
370-374,5,305,205,245,135,105
375,6,306,206,-,-,106
376,4,304,204,244,134,104
377-379,5,305,205,245,135,105
380-381,6,306,206,246,136,106
382-385,5,305,205,245,135,105
386-387,6,306,206,246,136,106
388,5,305,205,245,135,105
389-396,6,306,206,246,136,106
397-399,5,305,205,245,135,105
400-410,5,305,205,245,135,105
411-412,4,304,204,244,134,104
413-414,5,305,205,-,135,105
415-418,4,304,204,244,134,104
420-427,5,305,205,245,135,105
430-449,4,304,204,244,134,104
450-452,5,305,205,245,135,105
453-458,4,304,204,244,134,104
459-479,5,305,205,245,135,105
480-487,4,304,204,244,134,104
488-491,5,305,205,245,135,105
492,4,304,204,244,134,104
493-499,5,305,205,245,135,105
500-505,6,306,206,246,136,106
506-507,5,305,205,245,135,105
508-516,6,306,206,246,136,106
520-524,5,305,205,245,135,105
